@relation pima_diabetes-weka.filters.unsupervised.attribute.Remove-R9_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A8-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric

@data
0.041469,0.036176,-0.020739,0.000468,-0.012072,-0.043904,-0.017236,0.04488
0.003347,0.048621,-0.032006,-0.018552,-0.007564,0.026734,0.011427,0.007751
0.023779,0.003547,0.056197,-0.01726,0.020587,-0.068995,-0.058211,-0.050394
-0.038157,0.019767,-0.002456,-0.014031,0.002387,0.032931,0.01952,-0.011105
0.158471,-0.08928,-0.016233,-0.052448,0.075612,0.035433,-0.016843,0.055429
-0.0215,0.006276,0.009018,0.008736,-0.009992,-0.00701,-0.013377,-0.054752
-0.030624,0.006099,-0.011983,-0.0364,-0.023579,0.035565,0.004159,0.028216
-0.040404,-0.093022,0.015196,-0.098969,-0.079681,-0.043022,-0.038576,0.008025
0.001343,0.026164,0.108482,0.039991,-0.028873,-0.013443,0.122525,0.078227
0.040916,0.12836,0.068693,0.053322,-0.050763,0.010763,-0.028639,-0.065289
-0.037789,-0.029327,-0.031213,0.043298,0.005906,-0.005616,0.001259,-0.055013
-0.013451,-0.0545,0.017477,0.011761,0.009929,-0.069171,-0.062678,-0.036822
0.115351,-0.028663,0.014317,0.038854,-0.010321,0.001017,-0.072642,-0.023786
0.024149,-0.063624,0.173938,0.075079,-0.059228,0.056739,0.188561,0.058433
0.046864,0.02367,0.046314,0.022435,-0.018956,-0.023777,0.024416,0.010816
0.011495,-0.074958,0.007444,-0.099368,-0.071574,-0.008622,-0.02133,0.004178
-0.01435,-0.014685,-0.02678,0.024433,0.032329,0.022393,0.047421,0.05491
-0.029071,-0.019255,0.002959,0.013985,-0.01771,-0.001077,-0.032539,-0.047186
-0.019606,-0.027344,-0.049139,-0.063229,-0.037084,-0.011023,0.051703,0.07059
0.008011,0.009045,-0.019674,-0.003676,0.012568,0.009822,0.024452,0.017439
-0.01406,-0.01082,0.01282,0.027253,0.044012,0.024811,0.000457,0.031283
0.005379,-0.035719,-0.02871,0.052441,-0.049434,0.007905,-0.014786,-0.024248
0.002734,-0.029789,0.002887,0.038805,0.023673,-0.09671,-0.016926,-0.04185
-0.043978,0.0437,0.009391,-0.002533,0.002653,-0.018977,-0.076095,0.014977
-0.027251,0.008397,0.021416,0.058226,-0.032788,-0.024985,-0.034356,0.040555
-0.033809,0.002963,0.030331,0.012266,-0.040093,-0.011986,-0.03835,0.024884
-0.011574,-0.041953,-0.016748,0.02758,-0.022017,-0.053188,-0.003705,-0.027038
-0.004458,0.011928,0.026074,-0.008396,0.012535,0.047731,0.014592,-0.029819
-0.000424,0.037833,0.060327,0.044233,-0.064922,-0.023633,-0.050042,0.014087
-0.008805,-0.016684,-0.021618,0.048147,-0.004818,-0.006673,-0.003992,-0.048884
0.051071,0.013702,-0.054264,0.02814,-0.051849,-0.003236,0.017849,0.041412
0.016586,0.006654,0.050575,0.00417,0.04955,0.000571,-0.001382,0.020932
-0.026361,0.004188,0.009026,-0.022765,-0.009479,0.03099,-0.004277,-0.030969
-0.032276,0.0311,0.01788,0.036111,-0.00612,0.028367,-0.036655,-0.072484
0.007661,0.039669,0.006386,0.010974,-0.024878,-0.014631,-0.068133,0.026403
0.041648,0.012705,0.038378,-0.014272,0.004102,0.056401,-0.017818,0.026589
-0.024349,-0.040092,0.020626,0.019195,-0.012342,-0.036063,-0.071654,-0.038873
0.017824,0.021557,-0.022153,0.009746,-0.02566,0.006193,-0.061903,0.046339
-0.010688,0.017148,-0.055792,-0.0228,0.015264,0.012988,-0.010956,0.039256
